func_id	pathway	enzyme
K07661	Two-component system [PATH:ko02020]	"two-component system, OmpR family, response regulator RstA"
K07662	Two-component system [PATH:ko02020]	"two-component system, OmpR family, response regulator CpxR"
K07663	Two-component system [PATH:ko02020]	"two-component system, OmpR family, catabolic regulation response regulator CreB"
K07664	Two-component system [PATH:ko02020]	"two-component system, OmpR family, response regulator BaeR"
K07665	Two-component system [PATH:ko02020]	"two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR"
K07666	Quorum sensing [PATH:ko02024]	"two-component system, OmpR family, response regulator QseB"
K07667	Quorum sensing [PATH:ko02024]	"two-component system, OmpR family, KDP operon response regulator KdpE"
K07668	Two-component system [PATH:ko02020]	"two-component system, OmpR family, response regulator VicR"
K07669	Two-component system [PATH:ko02020]	"two-component system, OmpR family, response regulator MprA"
K07670	Two-component system [PATH:ko02020]	"two-component system, OmpR family, response regulator MtrA"
K07671	Two-component system [PATH:ko02020]	"two-component system, OmpR family, response regulator PrrA"
K07672	Two-component system [PATH:ko02020]	"two-component system, OmpR family, response regulator TrcR"
K07673	Two-component system [PATH:ko02020]	"two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]"
K07674	Two-component system [PATH:ko02020]	"two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]"
K07675	Two-component system [PATH:ko02020]	"two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]"
K07676	Biofilm formation - Escherichia coli [PATH:ko02026]	"two-component system, NarL family, sensor histidine kinase RcsD [EC:2.7.13.3]"
K07677	Biofilm formation - Escherichia coli [PATH:ko02026]	"two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC [EC:2.7.13.3]"
K07678	Biofilm formation - Escherichia coli [PATH:ko02026]	"two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]"
K07679	Two-component system [PATH:ko02020]	"two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]"
K07680	Quorum sensing [PATH:ko02024]	"two-component system, NarL family, sensor histidine kinase ComP [EC:2.7.13.3]"
K07681	Two-component system [PATH:ko02020]	"two-component system, NarL family, vancomycin resistance sensor histidine kinase VraS [EC:2.7.13.3]"
K07682	Two-component system [PATH:ko02020]	"two-component system, NarL family, sensor histidine kinase DevS [EC:2.7.13.3]"
K07683	Two-component system [PATH:ko02020]	"two-component system, NarL family, sensor histidine kinase NreB [EC:2.7.13.3]"
K07684	Two-component system [PATH:ko02020]	"two-component system, NarL family, nitrate/nitrite response regulator NarL"
K07685	Two-component system [PATH:ko02020]	"two-component system, NarL family, nitrate/nitrite response regulator NarP"
K07686	Two-component system [PATH:ko02020]	"two-component system, NarL family, uhpT operon response regulator UhpA"
K07687	Biofilm formation - Escherichia coli [PATH:ko02026]	"two-component system, NarL family, captular synthesis response regulator RcsB"
K07688	Two-component system [PATH:ko02020]	"two-component system, NarL family, response regulator, fimbrial Z protein, FimZ"
K07689	Biofilm formation - Escherichia coli [PATH:ko02026]	"two-component system, NarL family, invasion response regulator UvrY"
K07690	Two-component system [PATH:ko02020]	"two-component system, NarL family, response regulator EvgA"
K07691	Quorum sensing [PATH:ko02024]	"two-component system, NarL family, competent response regulator ComA"
K07692	Quorum sensing [PATH:ko02024]	"two-component system, NarL family, response regulator DegU"
K07693	Two-component system [PATH:ko02020]	"two-component system, NarL family, response regulator DesR"
K07694	Two-component system [PATH:ko02020]	"two-component system, NarL family, vancomycin resistance associated response regulator VraR"
K07695	Two-component system [PATH:ko02020]	"two-component system, NarL family, response regulator DevR"
K07696	Two-component system [PATH:ko02020]	"two-component system, NarL family, response regulator NreC"
K07697	Two-component system [PATH:ko02020]	"two-component system, sporulation sensor kinase B [EC:2.7.13.3]"
K07698	Two-component system [PATH:ko02020]	"two-component system, sporulation sensor kinase C [EC:2.7.13.3]"
K07699	Quorum sensing [PATH:ko02024]	"two-component system, response regulator, stage 0 sporulation protein A"
K07700	Two-component system [PATH:ko02020]	"two-component system, CitB family, cit operon sensor histidine kinase CitA [EC:2.7.13.3]"
K07701	Two-component system [PATH:ko02020]	"two-component system, CitB family, sensor histidine kinase DcuS [EC:2.7.13.3]"
K07702	Two-component system [PATH:ko02020]	"two-component system, CitB family, response regulator CitB"
K07703	Two-component system [PATH:ko02020]	"two-component system, CitB family, response regulator DcuR"
K07704	Two-component system [PATH:ko02020]	"two-component system, LytTR family, sensor histidine kinase LytS [EC:2.7.13.3]"
K07705	Two-component system [PATH:ko02020]	"two-component system, LytTR family, response regulator LytT"
K07706	Quorum sensing [PATH:ko02024]	"two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]"
K07707	Quorum sensing [PATH:ko02024]	"two-component system, LytTR family, response regulator AgrA"
K07708	Two-component system [PATH:ko02020]	"two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]"
K07709	Two-component system [PATH:ko02020]	"two-component system, NtrC family, sensor histidine kinase HydH [EC:2.7.13.3]"
K07710	Two-component system [PATH:ko02020]	"two-component system, NtrC family, sensor histidine kinase AtoS [EC:2.7.13.3]"
K07711	Quorum sensing [PATH:ko02024]	"two-component system, NtrC family, sensor histidine kinase GlrK [EC:2.7.13.3]"
K07712	Two-component system [PATH:ko02020]	"two-component system, NtrC family, nitrogen regulation response regulator GlnG"
K07713	Two-component system [PATH:ko02020]	"two-component system, NtrC family, response regulator HydG"
K07714	Two-component system [PATH:ko02020]	"two-component system, NtrC family, response regulator AtoC"
K07715	Quorum sensing [PATH:ko02024]	"two-component system, NtrC family, response regulator GlrR"
K07716	Cell cycle - Caulobacter [PATH:ko04112]	"two-component system, cell cycle sensor histidine kinase PleC [EC:2.7.13.3]"
K07717	Two-component system [PATH:ko02020]	"two-component system, sensor histidine kinase YcbA [EC:2.7.13.3]"
K07718	Two-component system [PATH:ko02020]	"two-component system, sensor histidine kinase YesM [EC:2.7.13.3]"
K07719	Two-component system [PATH:ko02020]	"two-component system, response regulator YcbB"
K07720	Two-component system [PATH:ko02020]	"two-component system, response regulator YesN"
K07721	Other	Other
K07722	Other	Other
K07723	Other	Other
K07724	Other	Other
K07726	Other	Other
K07727	Other	Other
K07728	Other	Other
K07729	Other	Other
K07731	Other	Other
K07732	Riboflavin metabolism [PATH:ko00740]	"riboflavin kinase, archaea type [EC:2.7.1.161]"
K07733	Other	Other
K07734	Other	Other
K07735	Other	Other
K07736	Other	Other
K07738	Other	Other
K07739	Other	Other
K07740	Other	Other
K07741	Other	Other
K07742	Other	Other
K07743	Other	Other
K07744	Other	Other
K07745	Other	Other
K07746	Other	Other
K07748	Steroid biosynthesis [PATH:ko00100]	sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating) [EC:1.1.1.170]
K07749	Other	Other
K07750	Steroid biosynthesis [PATH:ko00100]	methylsterol monooxygenase [EC:1.14.18.9]
K07751	Glutathione metabolism [PATH:ko00480]	PepB aminopeptidase [EC:3.4.11.23]
K07752	Other	Other
K07753	Peroxisome [PATH:ko04146]	peroxisomal trans-2-enoyl-CoA reductase [EC:1.3.1.38]
K07754	Other	Other
K07755	Other	Other
K07756	Autophagy - yeast [PATH:ko04138]	inositol-hexakisphosphate 5-kinase [EC:2.7.4.21]
K07757	Other	Other
K07759	Other	Other
K07760	Other	Other
K07763	TNF signaling pathway [PATH:ko04668]	matrix metalloproteinase-14 (membrane-inserted) [EC:3.4.24.80]
K07765	Protein processing in endoplasmic reticulum [PATH:ko04141]	S2P endopeptidase [EC:3.4.24.85]
K07766	Other	Other
K07767	Other	Other
K07768	Two-component system [PATH:ko02020]	"two-component system, OmpR family, sensor histidine kinase SenX3 [EC:2.7.13.3]"
K07769	Two-component system [PATH:ko02020]	"two-component system, OmpR family, sensor histidine kinase NblS [EC:2.7.13.3]"
K07770	Two-component system [PATH:ko02020]	"two-component system, OmpR family, response regulator CssR"
K07771	Two-component system [PATH:ko02020]	"two-component system, OmpR family, response regulator BasR"
K07772	Two-component system [PATH:ko02020]	"two-component system, OmpR family, torCAD operon response regulator TorR"
K07773	Biofilm formation - Escherichia coli [PATH:ko02026]	"two-component system, OmpR family, aerobic respiration control protein ArcA"
K07774	Two-component system [PATH:ko02020]	"two-component system, OmpR family, response regulator TctD"
K07775	Two-component system [PATH:ko02020]	"two-component system, OmpR family, response regulator ResD"
K07776	Two-component system [PATH:ko02020]	"two-component system, OmpR family, response regulator RegX3"
K07777	Two-component system [PATH:ko02020]	"two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]"
K07778	Two-component system [PATH:ko02020]	"two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]"
K07779	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate [PATH:ko00532]	chondroitin 4-sulfotransferase 13 [EC:2.8.2.5]
K07781	Biofilm formation - Escherichia coli [PATH:ko02026]	"LuxR family transcriptional regulator, capsular biosynthesis positive transcription factor"
K07782	Biofilm formation - Escherichia coli [PATH:ko02026]	"LuxR family transcriptional regulator, quorum-sensing system regulator SdiA"
K07783	Two-component system [PATH:ko02020]	"MFS transporter, OPA family, sugar phosphate sensor protein UhpC"
K07784	Two-component system [PATH:ko02020]	"MFS transporter, OPA family, hexose phosphate transport protein UhpT"
K07785	Two-component system [PATH:ko02020]	"MFS transporter, NRE family, putaive nickel resistance protein"
K07786	Two-component system [PATH:ko02020]	"MFS transporter, DHA2 family, multidrug resistance protein"
K07787	Two-component system [PATH:ko02020]	Cu(I)/Ag(I) efflux system membrane protein CusA/SilA
K07788	Two-component system [PATH:ko02020]	multidrug efflux pump
K07789	Two-component system [PATH:ko02020]	multidrug efflux pump
K07790	Two-component system [PATH:ko02020]	putative membrane protein PagO
K07791	Other	Other
K07792	Two-component system [PATH:ko02020]	anaerobic C4-dicarboxylate transporter DcuB
K07793	Two-component system [PATH:ko02020]	putative tricarboxylic transport membrane protein
K07794	Two-component system [PATH:ko02020]	putative tricarboxylic transport membrane protein
K07795	Two-component system [PATH:ko02020]	putative tricarboxylic transport membrane protein
K07796	Two-component system [PATH:ko02020]	"outer membrane protein, Cu(I)/Ag(I) efflux system"
K07797	Two-component system [PATH:ko02020]	multidrug resistance protein K
K07798	Two-component system [PATH:ko02020]	"membrane fusion protein, Cu(I)/Ag(I) efflux system"
K07799	Two-component system [PATH:ko02020]	"membrane fusion protein, multidrug efflux system"
K07803	Two-component system [PATH:ko02020]	zinc resistance-associated protein
K07804	Two-component system [PATH:ko02020]	putatice virulence related protein PagC
K07806	Two-component system [PATH:ko02020]	UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase [EC:2.6.1.87]
K07807	Other	Other
K07809	Glycosaminoglycan biosynthesis - heparan sulfate / heparin [PATH:ko00534]	[heparan sulfate]-glucosamine 3-sulfotransferase 3 [EC:2.8.2.30]
K07810	Two-component system [PATH:ko02020]	Cu(I)/Ag(I) efflux system periplasmic protein CusF
K07812	Other	Other
K07813	Quorum sensing [PATH:ko02024]	accessory gene regulator B
K07814	Other	Other
K07816	Purine metabolism [PATH:ko00230]	putative GTP pyrophosphokinase [EC:2.7.6.5]
K07817	Other	Other
K07819	Glycosphingolipid biosynthesis - lacto and neolacto series [PATH:ko00601]	"beta-1,3-galactosyltransferase 1 [EC:2.4.1.86]"
K07821	Other	Other
K07822	Other	Other
K07823	Benzoate degradation [PATH:ko00362]	3-oxoadipyl-CoA thiolase [EC:2.3.1.174]
K07824	Aminobenzoate degradation [PATH:ko00627]	benzoate 4-monooxygenase [EC:1.14.14.92]
K07827	Regulation of actin cytoskeleton [PATH:ko04810]	GTPase KRas
K07830	Regulation of actin cytoskeleton [PATH:ko04810]	Ras-related protein R-Ras2
K07831	Regulation of actin cytoskeleton [PATH:ko04810]	Ras-related protein M-Ras
K07834	Phospholipase D signaling pathway [PATH:ko04072]	Ras-related protein Ral-A
K07835	Phospholipase D signaling pathway [PATH:ko04072]	Ras-related protein Ral-B
K07836	Focal adhesion [PATH:ko04510]	Ras-related protein Rap-1B
K07837	Other	Other
K07838	Other	Other
K07839	Tight junction [PATH:ko04530]	Ras-related protein Rap-2C
K07840	Other	Other
K07841	Other	Other
K07847	Other	Other
K07851	Other	Other
K07852	Other	Other
K07857	Other	Other
K07861	Regulation of actin cytoskeleton [PATH:ko04810]	Ras-related C3 botulinum toxin substrate 3
K07862	Other	Other
K07868	Ubiquitin mediated proteolysis [PATH:ko04120]	Rho-related BTB domain-containing protein 1/2
K07870	Apoptosis - fly [PATH:ko04214]	mitochondrial Rho GTPase 1 [EC:3.6.5.-]
K07872	Other	Other
K07874	Other	Other
K07876	Endocytosis [PATH:ko04144]	Ras-related protein Rab-35
K07877	AMPK signaling pathway [PATH:ko04152]	Ras-related protein Rab-2A
K07878	Other	Other
K07879	Endocytosis [PATH:ko04144]	Ras-related protein Rab-4A
K07880	Other	Other
K07881	AMPK signaling pathway [PATH:ko04152]	Ras-related protein Rab-14
K07883	Other	Other
K07884	Other	Other
K07885	Other	Other
K07886	Other	Other
K07888	Phagosome [PATH:ko04145]	Ras-related protein Rab-5B
K07889	Phagosome [PATH:ko04145]	Ras-related protein Rab-5C
K07890	Other	Other
K07891	Endocytosis [PATH:ko04144]	Ras-related protein Rab-22
K07893	Other	Other
K07894	Other	Other
K07897	Mitophagy - animal [PATH:ko04137]	Ras-related protein Rab-7A
K07899	Other	Other
K07901	Tight junction [PATH:ko04530]	Ras-related protein Rab-8A
K07902	Tight junction [PATH:ko04530]	Ras-related protein Rab-8B
K07903	Endocytosis [PATH:ko04144]	Ras-related protein Rab-10
K07904	Endocytosis [PATH:ko04144]	Ras-related protein Rab-11A
K07905	Endocytosis [PATH:ko04144]	Ras-related protein Rab-11B
K07910	Other	Other
K07912	Other	Other
K07913	Other	Other
K07914	Other	Other
K07915	Other	Other
K07916	Other	Other
K07917	Other	Other
K07918	Other	Other
K07920	Autophagy - animal [PATH:ko04140]	Ras-related protein Rab-33B
K07921	Other	Other
K07923	Other	Other
K07925	Other	Other
K07928	Other	Other
K07930	Other	Other
K07933	Other	Other
K07934	Other	Other
K07936	Ribosome biogenesis in eukaryotes [PATH:ko03008]	GTP-binding nuclear protein Ran
K07937	Endocytosis [PATH:ko04144]	ADP-ribosylation factor 1
K07939	Other	Other
K07941	Endocytosis [PATH:ko04144]	ADP-ribosylation factor 6
K07942	Other	Other
K07943	Other	Other
K07944	Other	Other
K07945	Other	Other
K07949	Other	Other
K07950	Other	Other
K07951	Other	Other
K07952	Other	Other
K07953	Protein processing in endoplasmic reticulum [PATH:ko04141]	GTP-binding protein SAR1 [EC:3.6.5.-]
K07955	Other	Other
K07962	Other	Other
K07963	Other	Other
K07964	Glycosaminoglycan degradation [PATH:ko00531]	heparanase [EC:3.2.1.166]
K07966	Glycosphingolipid biosynthesis - lacto and neolacto series [PATH:ko00601]	"beta-1,4-galactosyltransferase 1 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-]"
K07968	Glycosphingolipid biosynthesis - lacto and neolacto series [PATH:ko00601]	"beta-1,4-galactosyltransferase 3 [EC:2.4.1.90 2.4.1.38 2.4.1.-]"
K07972	Other	Other
K07973	MAPK signaling pathway - yeast [PATH:ko04011]	"guanine nucleotide-binding protein subunit gamma, other"
K07975	Other	Other
K07976	Other	Other
K07977	Other	Other
K07978	Other	Other
K07979	Other	Other
K07994	Other	Other
K07995	Other	Other
K07996	Other	Other
K07997	Other	Other
K07998	Other	Other
K07999	Other	Other
K08002	Other	Other
K08003	Other	Other
K08006	Other	Other
K08008	Other	Other
K08014	cAMP signaling pathway [PATH:ko04024]	Rap guanine nucleotide exchange factor 3
K08017	Other	Other
K08018	Tight junction [PATH:ko04530]	Rap guanine nucleotide exchange factor 2
K08022	Arachidonic acid metabolism [PATH:ko00590]	arachidonate 15-lipoxygenase (second type) / 8-lipoxygenase (S-type) [EC:1.13.11.33 1.13.11.-]
K08026	Signaling pathways regulating pluripotency of stem cells [PATH:ko04550]	"one cut domain, family member 1, hepatocyte nuclear factor 6"
K08028	Other	Other
K08029	Other	Other
K08031	Signaling pathways regulating pluripotency of stem cells [PATH:ko04550]	paired box protein 6
K08035	Other	Other
K08037	Other	Other
K08040	Other	Other
K08041	Gap junction [PATH:ko04540]	adenylate cyclase 1 [EC:4.6.1.1]
K08042	Gap junction [PATH:ko04540]	adenylate cyclase 2 [EC:4.6.1.1]
K08043	Gap junction [PATH:ko04540]	adenylate cyclase 3 [EC:4.6.1.1]
K08045	Gap junction [PATH:ko04540]	adenylate cyclase 5 [EC:4.6.1.1]
K08047	Gap junction [PATH:ko04540]	adenylate cyclase 7 [EC:4.6.1.1]
K08048	Gap junction [PATH:ko04540]	adenylate cyclase 8 [EC:4.6.1.1]
K08049	Gap junction [PATH:ko04540]	adenylate cyclase 9 [EC:4.6.1.1]
K08051	Other	Other
K08052	MAPK signaling pathway [PATH:ko04010]	neurofibromin 1
K08054	Phagosome [PATH:ko04145]	calnexin
K08056	Protein processing in endoplasmic reticulum [PATH:ko04141]	protein disulfide-isomerase A3 [EC:5.3.4.1]
K08057	Phagosome [PATH:ko04145]	calreticulin
K08059	Other	Other
K08064	Other	Other
K08065	Other	Other
K08066	Other	Other
K08068	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	UDP-N-acetylglucosamine 2-epimerase (hydrolysing) [EC:3.2.1.183]
K08069	Pantothenate and CoA biosynthesis [PATH:ko00770]	pantetheine hydrolase [EC:3.5.1.92]
K08070	Other	Other
K08071	Other	Other
K08073	Other	Other
K08074	Glycolysis / Gluconeogenesis [PATH:ko00010]	ADP-dependent glucokinase [EC:2.7.1.147]
K08075	Other	Other
K08076	Other	Other
K08077	Other	Other
K08080	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	CMP-N-acetylneuraminate monooxygenase [EC:1.14.18.2]
K08081	"Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]"	tropinone reductase I [EC:1.1.1.206]
K08082	Two-component system [PATH:ko02020]	"two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]"
K08083	Two-component system [PATH:ko02020]	"two-component system, LytTR family, response regulator AlgR"
K08084	Other	Other
K08085	Other	Other
K08086	Other	Other
K08087	Other	Other
K08088	Other	Other
K08092	Ascorbate and aldarate metabolism [PATH:ko00053]	3-dehydro-L-gulonate 2-dehydrogenase [EC:1.1.1.130]
K08093	Methane metabolism [PATH:ko00680]	3-hexulose-6-phosphate synthase [EC:4.1.2.43]
K08094	Methane metabolism [PATH:ko00680]	6-phospho-3-hexuloisomerase [EC:5.3.1.27]
K08095	Other	Other
K08096	Riboflavin metabolism [PATH:ko00740]	GTP cyclohydrolase IIa [EC:3.5.4.29]
K08097	Methane metabolism [PATH:ko00680]	phosphosulfolactate synthase [EC:4.4.1.19]
K08098	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis [PATH:ko00563]	"phosphatidylinositol glycan, class Z [EC:2.4.1.-]"
K08099	Porphyrin and chlorophyll metabolism [PATH:ko00860]	chlorophyllase [EC:3.1.1.14]
K08100	Porphyrin and chlorophyll metabolism [PATH:ko00860]	bilirubin oxidase [EC:1.3.3.5]
K08101	Porphyrin and chlorophyll metabolism [PATH:ko00860]	phytochromobilin:ferredoxin oxidoreductase [EC:1.3.7.4]
K08102	Glycosaminoglycan biosynthesis - heparan sulfate / heparin [PATH:ko00534]	heparan sulfate 6-O-sulfotransferase HS6ST2 [EC:2.8.2.-]
K08103	Glycosaminoglycan biosynthesis - heparan sulfate / heparin [PATH:ko00534]	heparan sulfate 6-O-sulfotransferase HS6ST3 [EC:2.8.2.-]
K08104	Glycosaminoglycan biosynthesis - heparan sulfate / heparin [PATH:ko00534]	[heparan sulfate]-glucosamine 3-sulfotransferase 5 [EC:2.8.2.23]
K08110	Wnt signaling pathway [PATH:ko04310]	glypican 4
K08112	Other	Other
K08115	Other	Other
K08118	Other	Other
K08119	Other	Other
K08129	Other	Other
K08131	Focal adhesion [PATH:ko04510]	"collagen, type IX, alpha"
K08137	Other	Other
K08138	Other	Other
K08139	Meiosis - yeast [PATH:ko04113]	"MFS transporter, SP family, sugar:H+ symporter"
K08141	Other	Other
K08142	Other	Other
K08145	Other	Other
K08147	Other	Other
K08150	Other	Other
K08151	Other	Other
K08152	Other	Other
K08153	Other	Other
K08154	Other	Other
K08155	Other	Other
K08156	Other	Other
K08157	Other	Other
K08158	Other	Other
K08159	Other	Other
K08160	Other	Other
K08161	Other	Other
K08162	Other	Other
K08163	Other	Other
K08164	Other	Other
K08165	Other	Other
K08166	Other	Other
K08167	Other	Other
K08168	Other	Other
K08169	Other	Other
K08170	Other	Other
K08171	Other	Other
K08172	Other	Other
K08173	Other	Other
K08174	Other	Other
K08175	Other	Other
K08176	Other	Other
K08177	Other	Other
K08178	Other	Other
K08187	Other	Other
K08189	Other	Other
K08191	Other	Other
K08192	Other	Other
K08193	Other	Other
K08194	Other	Other
K08195	Other	Other
K08196	Other	Other
K08197	Other	Other
K08200	Other	Other
K08202	Other	Other
K08203	Other	Other
K08211	Other	Other
K08217	Other	Other
K08218	Other	Other
K08219	Other	Other
K08220	Other	Other
K08221	Other	Other
K08222	Other	Other
K08223	Other	Other
K08224	Other	Other
K08225	Other	Other
K08226	Other	Other
K08227	Other	Other
K08232	Ascorbate and aldarate metabolism [PATH:ko00053]	monodehydroascorbate reductase (NADH) [EC:1.6.5.4]
K08233	Indole alkaloid biosynthesis [PATH:ko00901]	polyneuridine-aldehyde esterase [EC:3.1.1.78]
K08234	Other	Other
K08235	Other	Other
K08236	Other	Other
K08237	Other	Other
K08238	Other	Other
K08239	Lysosome [PATH:ko04142]	UDP-N-acetylglucosamine-lysosomal-enzyme [EC:2.7.8.17]
K08241	alpha-Linolenic acid metabolism [PATH:ko00592]	jasmonate O-methyltransferase [EC:2.1.1.141]
K08242	Steroid biosynthesis [PATH:ko00100]	24-methylenesterol C-methyltransferase [EC:2.1.1.143]
K08244	Other	Other
K08245	Other	Other
K08246	Steroid biosynthesis [PATH:ko00100]	cycloeucalenol cycloisomerase [EC:5.5.1.9]
K08247	Selenocompound metabolism [PATH:ko00450]	methionine S-methyltransferase [EC:2.1.1.12]
K08248	Cyanoamino acid metabolism [PATH:ko00460]	(R)-mandelonitrile lyase [EC:4.1.2.10]
K08249	Cyanoamino acid metabolism [PATH:ko00460]	hydroxymandelonitrile lyase [EC:4.1.2.11]
K08252	Other	Other
K08253	Other	Other
K08254	Other	Other
K08255	Other	Other
K08256	Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]	phosphatidyl-myo-inositol alpha-mannosyltransferase [EC:2.4.1.345]
K08257	Other	Other
K08259	Other	Other
K08260	Porphyrin and chlorophyll metabolism [PATH:ko00860]	adenosylcobinamide hydrolase [EC:3.5.1.90]
K08261	Fructose and mannose metabolism [PATH:ko00051]	D-sorbitol dehydrogenase (acceptor) [EC:1.1.99.21]
K08264	Methane metabolism [PATH:ko00680]	heterodisulfide reductase subunit D [EC:1.8.98.1]
K08266	Autophagy - other [PATH:ko04136]	target of rapamycin complex subunit LST8
K08267	mTOR signaling pathway [PATH:ko04150]	rapamycin-insensitive companion of mTOR
K08268	Mitophagy - animal [PATH:ko04137]	hypoxia-inducible factor 1 alpha
K08269	Mitophagy - yeast [PATH:ko04139]	serine/threonine-protein kinase ULK2 [EC:2.7.11.1]
K08271	mTOR signaling pathway [PATH:ko04150]	STE20-related kinase adapter protein alpha
K08272	mTOR signaling pathway [PATH:ko04150]	calcium binding protein 39
K08276	Other	Other
K08279	Other	Other
K08280	Other	Other
K08281	Nicotinate and nicotinamide metabolism [PATH:ko00760]	nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]
K08282	Other	Other
K08283	Other	Other
K08284	Other	Other
K08286	Other	Other
K08287	Other	Other
K08288	Protein processing in endoplasmic reticulum [PATH:ko04141]	protein kinase C substrate 80K-H
K08289	One carbon pool by folate [PATH:ko00670]	phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]
K08291	Endocytosis [PATH:ko04144]	G protein-coupled receptor kinase [EC:2.7.11.16]
K08292	AMPK signaling pathway [PATH:ko04152]	elongation factor 2 kinase [EC:2.7.11.20]
K08294	Mitophagy - yeast [PATH:ko04139]	mitogen-activated protein kinase kinase [EC:2.7.12.2]
K08295	Aminobenzoate degradation [PATH:ko00627]	2-aminobenzoate-CoA ligase [EC:6.2.1.32]
K08296	Other	Other
K08297	Other	Other
K08298	Other	Other
K08299	Other	Other
K08300	RNA degradation [PATH:ko03018]	ribonuclease E [EC:3.1.26.12]
K08301	Other	Other
K08302	Galactose metabolism [PATH:ko00052]	"tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]"
K08303	Other	Other
K08304	Other	Other
K08305	Other	Other
K08306	Other	Other
K08307	Other	Other
K08308	Other	Other
K08309	Other	Other
K08310	Folate biosynthesis [PATH:ko00790]	dihydroneopterin triphosphate diphosphatase [EC:3.6.1.67]
K08311	RNA degradation [PATH:ko03018]	putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]
K08312	Purine metabolism [PATH:ko00230]	ADP-ribose diphosphatase [EC:3.6.1.-]
K08313	Other	Other
K08314	Other	Other
K08315	Other	Other
K08316	Other	Other
K08317	Other	Other
K08318	Butanoate metabolism [PATH:ko00650]	4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase [EC:1.1.1.61 1.1.1.373]
K08319	Other	Other
K08320	Other	Other
K08321	Quorum sensing [PATH:ko02024]	"3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase [EC:2.3.1.245]"
K08322	Pentose and glucuronate interconversions [PATH:ko00040]	L-gulonate 5-dehydrogenase [EC:1.1.1.380]
K08323	Pentose and glucuronate interconversions [PATH:ko00040]	mannonate dehydratase [EC:4.2.1.8]
K08324	Nicotinate and nicotinamide metabolism [PATH:ko00760]	succinate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.24]
K08325	Propanoate metabolism [PATH:ko00640]	NADP-dependent alcohol dehydrogenase [EC:1.1.-.-]
K08326	Other	Other
K08329	Autophagy - yeast [PATH:ko04138]	autophagy-related protein 17
K08330	Mitophagy - yeast [PATH:ko04139]	autophagy-related protein 11
K08331	Autophagy - other [PATH:ko04136]	autophagy-related protein 13
K08332	Other	Other
K08333	Autophagy - other [PATH:ko04136]	"phosphoinositide-3-kinase, regulatory subunit 4 [EC:2.7.11.1]"
K08334	Apoptosis - multiple species [PATH:ko04215]	beclin
K08336	Autophagy - other [PATH:ko04136]	ubiquitin-like protein ATG12
K08337	Ferroptosis [PATH:ko04216]	ubiquitin-like modifier-activating enzyme ATG7
K08339	Ferroptosis [PATH:ko04216]	autophagy-related protein 5
K08341	Mitophagy - yeast [PATH:ko04139]	GABA(A) receptor-associated protein
K08342	Autophagy - other [PATH:ko04136]	cysteine protease ATG4 [EC:3.4.22.-]
K08343	Autophagy - other [PATH:ko04136]	ubiquitin-like-conjugating enzyme ATG3
K08344	Other	Other
K08348	Two-component system [PATH:ko02020]	"formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]"
K08349	Two-component system [PATH:ko02020]	"formate dehydrogenase-N, beta subunit"
K08350	Two-component system [PATH:ko02020]	"formate dehydrogenase-N, gamma subunit"
K08351	Biotin metabolism [PATH:ko00780]	biotin/methionine sulfoxide reductase [EC:1.-.-.-]
K08352	Sulfur metabolism [PATH:ko00920]	thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]
K08354	Sulfur metabolism [PATH:ko00920]	thiosulfate reductase cytochrome b subunit
K08355	Other	Other
K08356	Other	Other
K08357	Two-component system [PATH:ko02020]	tetrathionate reductase subunit A
K08358	Two-component system [PATH:ko02020]	tetrathionate reductase subunit B
